XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
386067.9201,3946355.3639999996,300335,297452,150168,116.138746
386067.9201,3946355.3639999996,300335,300627,150314,10.423395
386584.4768,3946359.125,300470,302448,151224,68.824467
386584.4768,3946359.125,300470,302526,151263,57.765094
386074.2912,3946363.6139999996,300627,301931,150967,135.253017
386074.2912,3946363.6139999996,300627,301995,150998,39.250223
386527.7658,3946363.675,300631,301821,150911,75.480949
386527.7658,3946363.675,300631,301964,150982,32.677153000000004
386584.1073,3946371.333,300976,301499,150750,23.166656
386584.1073,3946371.333,300976,302637,151396,77.227177
386420.8855,3946382.356,301419,301490,150746,11.707335
386420.8855,3946382.356,301419,301577,150789,24.425187
386420.8855,3946382.356,301419,301719,150860,7.532933
386409.2898,3946383.9689999996,301490,301643,150823,14.674426
386409.2898,3946383.9689999996,301490,301782,150891,7.392011
386564.7859,3946384.115,301499,302637,151319,33.76003
386564.7859,3946384.115,301499,302777,151389,49.082806
386440.5875,3946385.932,301577,301719,150861,19.876348999999998
386440.5875,3946385.932,301577,301911,150956,8.800897
386394.971,3946387.18,301643,301644,150822,80.12310699999999
386394.971,3946387.18,301643,301893,150947,6.921316
386421.1084,3946389.8860000004,301719,301782,150892,11.564238000000001
386421.1084,3946389.8860000004,301719,302041,151021,9.295081
386409.6375,3946391.352,301782,301893,150948,16.196841
386409.6375,3946391.352,301782,302162,151081,12.100710000000001
386458.2933,3946392.0069999998,301821,301911,150957,17.524774
386458.2933,3946392.0069999998,301821,302231,151117,18.375082
386393.6544,3946393.975,301893,302151,151077,56.39131999999999
386393.6544,3946393.975,301893,302223,151112,10.825496000000001
386440.9804,3946394.724,301911,302041,151022,19.065504999999998
386440.9804,3946394.724,301911,302129,151065,6.693295
386527.3949,3946396.35,301964,302990,151495,35.497334
386527.3949,3946396.35,301964,303794,151897,56.604957999999996
386091.4406,3946397.6289999997,301995,1016985,508493,15.104998000000002
386972.0765,3946397.945,302014,301926,151008,37.569266
386972.0765,3946397.945,302014,302061,151032,36.006006
386422.42100000003,3946399.088,302041,302162,151082,18.159832
386422.42100000003,3946399.088,302041,302535,151268,19.417765
386422.42100000003,3946399.088,302041,302598,151300,17.576495
386936.1075,3946399.578,302061,302227,151115,86.11576
386936.1075,3946399.578,302061,306329,153165,124.994336
386440.8214,3946401.416,302129,302231,151116,5.717663
386440.8214,3946401.416,302129,302535,151269,13.601106
386337.8691,3946402.22,302151,302152,151076,7.769264
386337.8691,3946402.22,302151,302521,151261,13.765382999999998
